order_id,order_date,product_name,category,quantity,unit_price,discount,region,customer_segment
1000,2025-01-01,Cotton T-Shirt,Clothing,2,36.49,0.1,Europe,Premium
1001,2025-01-01,Denim Jeans,Clothing,2,91.85,0.2,Europe,Consumer
1002,2025-01-01,Wool Sweater,Clothing,3,141.17,0.0,LATAM,Premium
1003,2025-01-01,Dumbbell Set,Sports,4,51.6,0.0,North America,Corporate
1004,2025-01-01,Smartwatch Ultra,Electronics,2,800.77,0.0,Europe,Consumer
1005,2025-01-01,Smartwatch Ultra,Electronics,4,690.77,0.0,LATAM,Consumer
1006,2025-01-01,Camping Tent,Sports,2,38.08,0.05,Europe,Premium
1007,2025-01-01,iPhone 15,Electronics,4,1029.94,0.05,APAC,Premium
1008,2025-01-01,Tennis Racket,Sports,2,151.76,0.0,Europe,Consumer
1009,2025-01-01,Air Purifier,Home,3,208.85,0.0,APAC,Corporate
1010,2025-01-02,Camping Tent,Sports,4,125.24,0.0,Europe,Corporate
1011,2025-01-02,iPad Pro,Electronics,3,745.13,0.05,LATAM,Consumer
1012,2025-01-02,Camping Tent,Sports,2,92.9,0.0,North America,Premium
1013,2025-01-02,Ergonomic Chair,Home,2,386.84,0.0,North America,Premium
1014,2025-01-02,Denim Jeans,Clothing,1,86.78,0.0,Europe,Corporate
1015,2025-01-02,iPad Pro,Electronics,4,306.16,0.0,Europe,Home Office
1016,2025-01-02,MacBook Air,Electronics,4,703.95,0.2,North America,Consumer
1017,2025-01-02,Wool Sweater,Clothing,2,60.99,0.0,LATAM,Corporate
1018,2025-01-02,Air Purifier,Home,1,137.97,0.0,LATAM,Premium
1019,2025-01-02,Cotton T-Shirt,Clothing,1,138.89,0.0,LATAM,Corporate
1020,2025-01-03,Tennis Racket,Sports,4,30.54,0.15,LATAM,Home Office
1021,2025-01-03,iPad Pro,Electronics,1,708.72,0.0,Europe,Premium
1022,2025-01-03,Bluetooth Speaker,Electronics,4,736.25,0.2,LATAM,Premium
1023,2025-01-03,Denim Jeans,Clothing,1,92.9,0.0,North America,Corporate
1024,2025-01-03,Coffee Maker,Home,4,90.11,0.0,Europe,Home Office
1025,2025-01-03,Denim Jeans,Clothing,4,42.88,0.0,Europe,Home Office
1026,2025-01-03,Camping Tent,Sports,2,64.52,0.15,LATAM,Corporate
1027,2025-01-03,Wool Sweater,Clothing,1,40.87,0.0,LATAM,Consumer
1028,2025-01-03,Tennis Racket,Sports,4,99.36,0.0,North America,Premium
1029,2025-01-03,MacBook Air,Electronics,1,1108.59,0.1,APAC,Home Office
1030,2025-01-03,Dumbbell Set,Sports,2,82.74,0.1,Europe,Corporate
1031,2025-01-03,Air Purifier,Home,2,142.08,0.2,Europe,Consumer
1032,2025-01-03,Running Shoes,Clothing,1,42.18,0.05,LATAM,Home Office
1033,2025-01-03,Leather Jacket,Clothing,3,118.98,0.1,LATAM,Home Office
1034,2025-01-03,Air Purifier,Home,3,230.92,0.05,Europe,Corporate
1035,2025-01-03,Camping Tent,Sports,3,68.62,0.05,Europe,Corporate
1036,2025-01-03,Standing Desk,Home,4,157.34,0.0,Europe,Home Office
1037,2025-01-03,Denim Jeans,Clothing,3,50.3,0.2,LATAM,Corporate
1038,2025-01-03,Coffee Maker,Home,4,348.66,0.05,North America,Home Office
1039,2025-01-03,Denim Jeans,Clothing,3,79.06,0.0,LATAM,Premium
1040,2025-01-04,Wool Sweater,Clothing,4,30.87,0.2,LATAM,Home Office
1041,2025-01-04,MacBook Air,Electronics,3,963.9,0.15,APAC,Corporate
1042,2025-01-04,Leather Jacket,Clothing,2,76.23,0.1,LATAM,Corporate
1043,2025-01-04,LED Desk Lamp,Home,1,292.28,0.0,Europe,Consumer
1044,2025-01-04,Air Purifier,Home,4,125.97,0.1,North America,Premium
1045,2025-01-04,LED Desk Lamp,Home,3,202.88,0.15,APAC,Home Office
1046,2025-01-04,Smartwatch Ultra,Electronics,3,770.24,0.0,Europe,Home Office
1047,2025-01-04,Running Shoes,Clothing,1,34.88,0.0,North America,Consumer
1048,2025-01-04,Ergonomic Chair,Home,3,195.19,0.0,North America,Premium
1049,2025-01-04,Smartwatch Ultra,Electronics,2,1149.03,0.0,North America,Consumer
1050,2025-01-04,Ergonomic Chair,Home,2,383.58,0.0,APAC,Consumer
1051,2025-01-04,Smartwatch Ultra,Electronics,4,731.58,0.05,APAC,Premium
1052,2025-01-04,Bluetooth Speaker,Electronics,1,1106.92,0.0,North America,Premium
1053,2025-01-04,Sleeping Bag,Sports,1,126.69,0.1,Europe,Corporate
1054,2025-01-05,Denim Jeans,Clothing,2,54.11,0.0,North America,Corporate
1055,2025-01-05,Ergonomic Chair,Home,1,324.96,0.05,APAC,Home Office
1056,2025-01-05,Yoga Mat,Sports,4,160.16,0.0,APAC,Consumer
1057,2025-01-05,Tennis Racket,Sports,4,157.23,0.15,APAC,Consumer
1058,2025-01-05,Cotton T-Shirt,Clothing,2,142.25,0.05,APAC,Corporate
1059,2025-01-05,Running Shoes,Clothing,4,94.08,0.2,North America,Consumer
1060,2025-01-05,Coffee Maker,Home,3,231.9,0.1,North America,Consumer
1061,2025-01-05,iPhone 15,Electronics,3,449.1,0.0,LATAM,Premium
